id,gst_code
base.state_in_an,35
base.state_in_ap,28
base.state_in_ar,12
base.state_in_as,18
base.state_in_br,10
base.state_in_ch,04
base.state_in_cg,22
base.state_in_dn,26
base.state_in_dd,25
base.state_in_dl,07
base.state_in_ga,30
base.state_in_gj,24
base.state_in_hr,06
base.state_in_hp,02
base.state_in_jk,01
base.state_in_jh,20
base.state_in_ka,29
base.state_in_kl,32
base.state_in_ld,31
base.state_in_mp,23
base.state_in_mh,27
base.state_in_mn,14
base.state_in_ml,17
base.state_in_mz,15
base.state_in_nl,13
base.state_in_or,21
base.state_in_py,34
base.state_in_pb,03
base.state_in_rj,08
base.state_in_sk,11
base.state_in_tn,33
base.state_in_ts,36
base.state_in_tr,16
base.state_in_up,09
base.state_in_uk,05
base.state_in_wb,19
